"Step","roberta_appnp_new - train_acc","roberta_appnp_new - train_acc__MIN","roberta_appnp_new - train_acc__MAX","roberta_sgc_new - train_acc","roberta_sgc_new - train_acc__MIN","roberta_sgc_new - train_acc__MAX","roberta_gat_new - train_acc","roberta_gat_new - train_acc__MIN","roberta_gat_new - train_acc__MAX","roberta_gcn_new - train_acc","roberta_gcn_new - train_acc__MIN","roberta_gcn_new - train_acc__MAX","roberta_appnp_orig - train_acc","roberta_appnp_orig - train_acc__MIN","roberta_appnp_orig - train_acc__MAX","roberta_sgc_orig - train_acc","roberta_sgc_orig - train_acc__MIN","roberta_sgc_orig - train_acc__MAX","roberta_gat_orig - train_acc","roberta_gat_orig - train_acc__MIN","roberta_gat_orig - train_acc__MAX","roberta_gcn_orig - train_acc","roberta_gcn_orig - train_acc__MIN","roberta_gcn_orig - train_acc__MAX"
"30","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727273","0.7272727272727273","0.7272727272727273"
"31","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"32","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.09090909090909091","0.09090909090909091","0.09090909090909091","0.36363636363636365","0.36363636363636365","0.36363636363636365","1","1","1"
"33","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.2727272727272727","0.2727272727272727","0.2727272727272727","1","1","1"
"34","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.2727272727272727","0.2727272727272727","0.2727272727272727","1","1","1"
"35","1","1","1","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"36","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1"
"37","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1"
"38","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"39","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"40","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"41","1","1","1","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1"
"42","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1"
"43","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1"
"44","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"45","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","1","1","1","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","1","1","1"
"46","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"47","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1"
"48","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.2727272727272727","0.2727272727272727","0.2727272727272727","1","1","1"
"49","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091"
