"Step","bert_appnp_new - train_loss","bert_appnp_new - train_loss__MIN","bert_appnp_new - train_loss__MAX","bert_sgc_new - train_loss","bert_sgc_new - train_loss__MIN","bert_sgc_new - train_loss__MAX","bert_gat_new - train_loss","bert_gat_new - train_loss__MIN","bert_gat_new - train_loss__MAX","bert_gcn_new - train_loss","bert_gcn_new - train_loss__MIN","bert_gcn_new - train_loss__MAX","bert_appnp_orig - train_loss","bert_appnp_orig - train_loss__MIN","bert_appnp_orig - train_loss__MAX","bert_sgc_orig - train_loss","bert_sgc_orig - train_loss__MIN","bert_sgc_orig - train_loss__MAX","bert_gat_orig - train_loss","bert_gat_orig - train_loss__MIN","bert_gat_orig - train_loss__MAX","bert_gcn_orig - train_loss","bert_gcn_orig - train_loss__MIN","bert_gcn_orig - train_loss__MAX"
"33","0.0004636087396647781","0.0004636087396647781","0.0004636087396647781","0.17024390399456024","0.17024390399456024","0.17024390399456024","0.005022404715418816","0.005022404715418816","0.005022404715418816","0.05441967397928238","0.05441967397928238","0.05441967397928238","0.00015212714788503945","0.00015212714788503945","0.00015212714788503945","0.2290046215057373","0.2290046215057373","0.2290046215057373","0.029722576960921288","0.029722576960921288","0.029722576960921288","0.203532874584198","0.203532874584198","0.203532874584198"
"34","0.0002358767087571323","0.0002358767087571323","0.0002358767087571323","0.9446589946746826","0.9446589946746826","0.9446589946746826","0.004940171260386705","0.004940171260386705","0.004940171260386705","0.0013255194062367082","0.0013255194062367082","0.0013255194062367082","0.00008634536789031699","0.00008634536789031699","0.00008634536789031699","0.350938081741333","0.350938081741333","0.350938081741333","0.03203999623656273","0.03203999623656273","0.03203999623656273","0.23521949350833893","0.23521949350833893","0.23521949350833893"
"35","0.0002001493121497333","0.0002001493121497333","0.0002001493121497333","0.17432719469070435","0.17432719469070435","0.17432719469070435","0.012225314974784851","0.012225314974784851","0.012225314974784851","0.1089044138789177","0.1089044138789177","0.1089044138789177","0.00013302107981871814","0.00013302107981871814","0.00013302107981871814","0.1298358142375946","0.1298358142375946","0.1298358142375946","0.01859797164797783","0.01859797164797783","0.01859797164797783","0.0635330006480217","0.0635330006480217","0.0635330006480217"
"36","0.0001616872032172978","0.0001616872032172978","0.0001616872032172978","0.29047566652297974","0.29047566652297974","0.29047566652297974","0.016344426199793816","0.016344426199793816","0.016344426199793816","0.004397509153932333","0.004397509153932333","0.004397509153932333","0.0002679377794265747","0.0002679377794265747","0.0002679377794265747","0.18453949689865112","0.18453949689865112","0.18453949689865112","0.014279521070420742","0.014279521070420742","0.014279521070420742","0.0844089463353157","0.0844089463353157","0.0844089463353157"
"37","0.002507522702217102","0.002507522702217102","0.002507522702217102","0.37991639971733093","0.37991639971733093","0.37991639971733093","0.02339223586022854","0.02339223586022854","0.02339223586022854","0.0011939308606088161","0.0011939308606088161","0.0011939308606088161","0.00007274848758243024","0.00007274848758243024","0.00007274848758243024","0.21290770173072815","0.21290770173072815","0.21290770173072815","0.1585153490304947","0.1585153490304947","0.1585153490304947","0.17647872865200043","0.17647872865200043","0.17647872865200043"
"38","0.0000973254136624746","0.0000973254136624746","0.0000973254136624746","0.16329559683799744","0.16329559683799744","0.16329559683799744","0.0017017670907080173","0.0017017670907080173","0.0017017670907080173","0.00167892687022686","0.00167892687022686","0.00167892687022686","0.00007561015081591904","0.00007561015081591904","0.00007561015081591904","0.19970932602882385","0.19970932602882385","0.19970932602882385","0.03145354241132736","0.03145354241132736","0.03145354241132736","0.1644263118505478","0.1644263118505478","0.1644263118505478"
"39","0.0006463910103775561","0.0006463910103775561","0.0006463910103775561","0.1803264170885086","0.1803264170885086","0.1803264170885086","0.0043350872583687305","0.0043350872583687305","0.0043350872583687305","0.0339149571955204","0.0339149571955204","0.0339149571955204","0.0000863991299411282","0.0000863991299411282","0.0000863991299411282","0.185147225856781","0.185147225856781","0.185147225856781","0.007809150498360395","0.007809150498360395","0.007809150498360395","0.011719691567122936","0.011719691567122936","0.011719691567122936"
"40","0.0000430088366556447","0.0000430088366556447","0.0000430088366556447","0.16087426245212555","0.16087426245212555","0.16087426245212555","0.10727134346961975","0.10727134346961975","0.10727134346961975","0.0037905725184828043","0.0037905725184828043","0.0037905725184828043","0.00017887963622342795","0.00017887963622342795","0.00017887963622342795","0.1959264874458313","0.1959264874458313","0.1959264874458313","0.03421644866466522","0.03421644866466522","0.03421644866466522","0.0029132624622434378","0.0029132624622434378","0.0029132624622434378"
"41","0.0001175498400698416","0.0001175498400698416","0.0001175498400698416","0.41368550062179565","0.41368550062179565","0.41368550062179565","0.005523504223674536","0.005523504223674536","0.005523504223674536","0.004731838125735521","0.004731838125735521","0.004731838125735521","0.0003805276064667851","0.0003805276064667851","0.0003805276064667851","0.1517464518547058","0.1517464518547058","0.1517464518547058","0.5302301049232483","0.5302301049232483","0.5302301049232483","0.019891954958438873","0.019891954958438873","0.019891954958438873"
"42","0.00011581021681195125","0.00011581021681195125","0.00011581021681195125","0.1358852982521057","0.1358852982521057","0.1358852982521057","0.01876179501414299","0.01876179501414299","0.01876179501414299","0.10189496725797653","0.10189496725797653","0.10189496725797653","0.00010923815716523677","0.00010923815716523677","0.00010923815716523677","0.1861986219882965","0.1861986219882965","0.1861986219882965","0.11469027400016785","0.11469027400016785","0.11469027400016785","0.0027228938415646553","0.0027228938415646553","0.0027228938415646553"
"43","0.00030979857547208667","0.00030979857547208667","0.00030979857547208667","0.2960009276866913","0.2960009276866913","0.2960009276866913","0.010283133946359158","0.010283133946359158","0.010283133946359158","0.10327201336622238","0.10327201336622238","0.10327201336622238","0.0000888524082256481","0.0000888524082256481","0.0000888524082256481","0.25285229086875916","0.25285229086875916","0.25285229086875916","0.008451246656477451","0.008451246656477451","0.008451246656477451","0.076029933989048","0.076029933989048","0.076029933989048"
"44","0.00003712931356858462","0.00003712931356858462","0.00003712931356858462","0.22503028810024261","0.22503028810024261","0.22503028810024261","0.007832381874322891","0.007832381874322891","0.007832381874322891","0.10267803072929382","0.10267803072929382","0.10267803072929382","0.0000909308873815462","0.0000909308873815462","0.0000909308873815462","0.4479580223560333","0.4479580223560333","0.4479580223560333","0.00908661913126707","0.00908661913126707","0.00908661913126707","0.020185071974992752","0.020185071974992752","0.020185071974992752"
"45","0.00008863418770488352","0.00008863418770488352","0.00008863418770488352","0.23049436509609222","0.23049436509609222","0.23049436509609222","0.011339044198393822","0.011339044198393822","0.011339044198393822","0.000879707804415375","0.000879707804415375","0.000879707804415375","0.00009868121560430154","0.00009868121560430154","0.00009868121560430154","0.2731873691082001","0.2731873691082001","0.2731873691082001","0.009975026361644268","0.009975026361644268","0.009975026361644268","0.015185150317847729","0.015185150317847729","0.015185150317847729"
"46","0.00005834509283886291","0.00005834509283886291","0.00005834509283886291","0.18396563827991486","0.18396563827991486","0.18396563827991486","0.008434050716459751","0.008434050716459751","0.008434050716459751","0.10992300510406494","0.10992300510406494","0.10992300510406494","0.00010163069964619353","0.00010163069964619353","0.00010163069964619353","0.12520399689674377","0.12520399689674377","0.12520399689674377","0.23683857917785645","0.23683857917785645","0.23683857917785645","0.0870899111032486","0.0870899111032486","0.0870899111032486"
"47","0.00009397569374414161","0.00009397569374414161","0.00009397569374414161","0.1236850917339325","0.1236850917339325","0.1236850917339325","0.004928054288029671","0.004928054288029671","0.004928054288029671","0.0013641439145430923","0.0013641439145430923","0.0013641439145430923","0.00008416739001404494","0.00008416739001404494","0.00008416739001404494","0.07458364218473434","0.07458364218473434","0.07458364218473434","0.016220448538661003","0.016220448538661003","0.016220448538661003","0.023366201668977737","0.023366201668977737","0.023366201668977737"
"48","0.00008550789789296687","0.00008550789789296687","0.00008550789789296687","0.23935680091381073","0.23935680091381073","0.23935680091381073","0.010031790472567081","0.010031790472567081","0.010031790472567081","0.006306344643235207","0.006306344643235207","0.006306344643235207","0.00005895713184145279","0.00005895713184145279","0.00005895713184145279","0.2293366938829422","0.2293366938829422","0.2293366938829422","0.013356977142393589","0.013356977142393589","0.013356977142393589","0.08687680214643478","0.08687680214643478","0.08687680214643478"
"49","0.00004648241156246513","0.00004648241156246513","0.00004648241156246513","0.2482079565525055","0.2482079565525055","0.2482079565525055","0.004454080481082201","0.004454080481082201","0.004454080481082201","0.001310325926169753","0.001310325926169753","0.001310325926169753","0.00003376943277544342","0.00003376943277544342","0.00003376943277544342","0.13839133083820343","0.13839133083820343","0.13839133083820343","0.009017134085297585","0.009017134085297585","0.009017134085297585","0.09847832471132278","0.09847832471132278","0.09847832471132278"
