"Step","roberta_appnp_new - train_loss","roberta_appnp_new - train_loss__MIN","roberta_appnp_new - train_loss__MAX","roberta_sgc_new - train_loss","roberta_sgc_new - train_loss__MIN","roberta_sgc_new - train_loss__MAX","roberta_gat_new - train_loss","roberta_gat_new - train_loss__MIN","roberta_gat_new - train_loss__MAX","roberta_gcn_new - train_loss","roberta_gcn_new - train_loss__MIN","roberta_gcn_new - train_loss__MAX","roberta_appnp_orig - train_loss","roberta_appnp_orig - train_loss__MIN","roberta_appnp_orig - train_loss__MAX","roberta_sgc_orig - train_loss","roberta_sgc_orig - train_loss__MIN","roberta_sgc_orig - train_loss__MAX","roberta_gat_orig - train_loss","roberta_gat_orig - train_loss__MIN","roberta_gat_orig - train_loss__MAX","roberta_gcn_orig - train_loss","roberta_gcn_orig - train_loss__MIN","roberta_gcn_orig - train_loss__MAX"
"31","0.00022202065156307071","0.00022202065156307071","0.00022202065156307071","0.11131362617015839","0.11131362617015839","0.11131362617015839","0.5809893012046814","0.5809893012046814","0.5809893012046814","0.034298039972782135","0.034298039972782135","0.034298039972782135","0.0001378571178065613","0.0001378571178065613","0.0001378571178065613","0.7052581906318665","0.7052581906318665","0.7052581906318665","0.8667087554931641","0.8667087554931641","0.8667087554931641","0.3096446096897125","0.3096446096897125","0.3096446096897125"
"32","0.0001456703175790608","0.0001456703175790608","0.0001456703175790608","0.11838223785161972","0.11838223785161972","0.11838223785161972","0.46658095717430115","0.46658095717430115","0.46658095717430115","0.004319812171161175","0.004319812171161175","0.004319812171161175","0.00016829403466545045","0.00016829403466545045","0.00016829403466545045","0.7076490521430969","0.7076490521430969","0.7076490521430969","0.8987074494361877","0.8987074494361877","0.8987074494361877","0.005804766435176134","0.005804766435176134","0.005804766435176134"
"33","0.0000684402693877928","0.0000684402693877928","0.0000684402693877928","0.07745034992694855","0.07745034992694855","0.07745034992694855","0.3770067095756531","0.3770067095756531","0.3770067095756531","0.07525669783353806","0.07525669783353806","0.07525669783353806","0.00011392641317797825","0.00011392641317797825","0.00011392641317797825","0.6907060146331787","0.6907060146331787","0.6907060146331787","0.9765770435333252","0.9765770435333252","0.9765770435333252","0.13069520890712738","0.13069520890712738","0.13069520890712738"
"34","0.00004623290442395955","0.00004623290442395955","0.00004623290442395955","0.38220593333244324","0.38220593333244324","0.38220593333244324","0.4646897614002228","0.4646897614002228","0.4646897614002228","0.10221120715141296","0.10221120715141296","0.10221120715141296","0.0000872337186592631","0.0000872337186592631","0.0000872337186592631","0.6848182678222656","0.6848182678222656","0.6848182678222656","0.97628253698349","0.97628253698349","0.97628253698349","0.03490923345088959","0.03490923345088959","0.03490923345088959"
"35","0.00007057563925627619","0.00007057563925627619","0.00007057563925627619","0.15255026519298553","0.15255026519298553","0.15255026519298553","0.735190212726593","0.735190212726593","0.735190212726593","0.13317832350730896","0.13317832350730896","0.13317832350730896","0.00038125881110318005","0.00038125881110318005","0.00038125881110318005","0.6894409656524658","0.6894409656524658","0.6894409656524658","0.665155291557312","0.665155291557312","0.665155291557312","0.12807482481002808","0.12807482481002808","0.12807482481002808"
"36","0.00015894418174866587","0.00015894418174866587","0.00015894418174866587","0.10471431910991669","0.10471431910991669","0.10471431910991669","0.4677295386791229","0.4677295386791229","0.4677295386791229","0.08554554730653763","0.08554554730653763","0.08554554730653763","0.0011542723514139652","0.0011542723514139652","0.0011542723514139652","0.6885856986045837","0.6885856986045837","0.6885856986045837","0.8208343982696533","0.8208343982696533","0.8208343982696533","0.012737513519823551","0.012737513519823551","0.012737513519823551"
"37","0.0000828976189950481","0.0000828976189950481","0.0000828976189950481","0.11112113296985626","0.11112113296985626","0.11112113296985626","0.4571985900402069","0.4571985900402069","0.4571985900402069","0.1048879623413086","0.1048879623413086","0.1048879623413086","0.0006010854849591851","0.0006010854849591851","0.0006010854849591851","0.7036229968070984","0.7036229968070984","0.7036229968070984","0.33024290204048157","0.33024290204048157","0.33024290204048157","0.009133384563028812","0.009133384563028812","0.009133384563028812"
"38","0.000041534818592481315","0.000041534818592481315","0.000041534818592481315","0.2516852915287018","0.2516852915287018","0.2516852915287018","0.3244530260562897","0.3244530260562897","0.3244530260562897","0.0012581655755639076","0.0012581655755639076","0.0012581655755639076","0.0021267321426421404","0.0021267321426421404","0.0021267321426421404","0.6855393052101135","0.6855393052101135","0.6855393052101135","0.8202682137489319","0.8202682137489319","0.8202682137489319","0.17976140975952148","0.17976140975952148","0.17976140975952148"
"39","0.00004861739216721617","0.00004861739216721617","0.00004861739216721617","0.0945713073015213","0.0945713073015213","0.0945713073015213","0.5822875499725342","0.5822875499725342","0.5822875499725342","0.0019324802560731769","0.0019324802560731769","0.0019324802560731769","0.00008468693704344332","0.00008468693704344332","0.00008468693704344332","0.6942687630653381","0.6942687630653381","0.6942687630653381","0.9754682779312134","0.9754682779312134","0.9754682779312134","0.2011842131614685","0.2011842131614685","0.2011842131614685"
"40","0.00009316219802713022","0.00009316219802713022","0.00009316219802713022","0.2064044326543808","0.2064044326543808","0.2064044326543808","0.5380128026008606","0.5380128026008606","0.5380128026008606","0.10553865879774094","0.10553865879774094","0.10553865879774094","0.00026109942700713873","0.00026109942700713873","0.00026109942700713873","0.6919338703155518","0.6919338703155518","0.6919338703155518","0.819817304611206","0.819817304611206","0.819817304611206","0.1854059100151062","0.1854059100151062","0.1854059100151062"
"41","0.00012136749137425795","0.00012136749137425795","0.00012136749137425795","0.07396179437637329","0.07396179437637329","0.07396179437637329","0.7800060510635376","0.7800060510635376","0.7800060510635376","0.0790872573852539","0.0790872573852539","0.0790872573852539","0.0001122055109590292","0.0001122055109590292","0.0001122055109590292","0.7401067614555359","0.7401067614555359","0.7401067614555359","1.2711317539215088","1.2711317539215088","1.2711317539215088","0.0005128044867888093","0.0005128044867888093","0.0005128044867888093"
"42","0.0001389325043419376","0.0001389325043419376","0.0001389325043419376","0.127529576420784","0.127529576420784","0.127529576420784","0.33140623569488525","0.33140623569488525","0.33140623569488525","0.48692837357521057","0.48692837357521057","0.48692837357521057","0.003144290065392852","0.003144290065392852","0.003144290065392852","0.6067418456077576","0.6067418456077576","0.6067418456077576","0.8200779557228088","0.8200779557228088","0.8200779557228088","0.06465501338243484","0.06465501338243484","0.06465501338243484"
"43","0.000038462228985736147","0.000038462228985736147","0.000038462228985736147","0.14198680222034454","0.14198680222034454","0.14198680222034454","0.6073192358016968","0.6073192358016968","0.6073192358016968","0.04843951761722565","0.04843951761722565","0.04843951761722565","0.00014800933422520757","0.00014800933422520757","0.00014800933422520757","0.4963700473308563","0.4963700473308563","0.4963700473308563","0.6649850606918335","0.6649850606918335","0.6649850606918335","0.0005274223512969911","0.0005274223512969911","0.0005274223512969911"
"44","0.00003240972000639886","0.00003240972000639886","0.00003240972000639886","0.11106355488300323","0.11106355488300323","0.11106355488300323","0.40151694416999817","0.40151694416999817","0.40151694416999817","0.0059208315797150135","0.0059208315797150135","0.0059208315797150135","0.000061195001762826","0.000061195001762826","0.000061195001762826","0.32593852281570435","0.32593852281570435","0.32593852281570435","0.6644824743270874","0.6644824743270874","0.6644824743270874","0.12678159773349762","0.12678159773349762","0.12678159773349762"
"45","0.00003396470856387168","0.00003396470856387168","0.00003396470856387168","0.06142723187804222","0.06142723187804222","0.06142723187804222","0.5274907350540161","0.5274907350540161","0.5274907350540161","0.018921516835689545","0.018921516835689545","0.018921516835689545","0.00009031342779053375","0.00009031342779053375","0.00009031342779053375","0.23791112005710602","0.23791112005710602","0.23791112005710602","0.7421819567680359","0.7421819567680359","0.7421819567680359","0.049452994018793106","0.049452994018793106","0.049452994018793106"
"46","0.000055232809245353565","0.000055232809245353565","0.000055232809245353565","0.12159944325685501","0.12159944325685501","0.12159944325685501","0.36268895864486694","0.36268895864486694","0.36268895864486694","0.10716919600963593","0.10716919600963593","0.10716919600963593","0.00006324313289951533","0.00006324313289951533","0.00006324313289951533","0.20255522429943085","0.20255522429943085","0.20255522429943085","0.664818525314331","0.664818525314331","0.664818525314331","0.12401533871889114","0.12401533871889114","0.12401533871889114"
"47","0.000022005258870194666","0.000022005258870194666","0.000022005258870194666","0.4452948570251465","0.4452948570251465","0.4452948570251465","0.4909345507621765","0.4909345507621765","0.4909345507621765","0.008007017895579338","0.008007017895579338","0.008007017895579338","0.0001590706960996613","0.0001590706960996613","0.0001590706960996613","0.20456463098526","0.20456463098526","0.20456463098526","0.6333920955657959","0.6333920955657959","0.6333920955657959","0.01352790929377079","0.01352790929377079","0.01352790929377079"
"48","0.00006382937135640532","0.00006382937135640532","0.00006382937135640532","0.1447162926197052","0.1447162926197052","0.1447162926197052","0.49529075622558594","0.49529075622558594","0.49529075622558594","0.1416940838098526","0.1416940838098526","0.1416940838098526","0.00013567641144618392","0.00013567641144618392","0.00013567641144618392","0.2971411943435669","0.2971411943435669","0.2971411943435669","0.9747392535209656","0.9747392535209656","0.9747392535209656","0.00029111767071299255","0.00029111767071299255","0.00029111767071299255"
"49","0.000033385073038516566","0.000033385073038516566","0.000033385073038516566","0.06058760732412338","0.06058760732412338","0.06058760732412338","0.452513724565506","0.452513724565506","0.452513724565506","0.003079333109781146","0.003079333109781146","0.003079333109781146","0.0003311554901301861","0.0003311554901301861","0.0003311554901301861","0.2302708774805069","0.2302708774805069","0.2302708774805069","0.5386137366294861","0.5386137366294861","0.5386137366294861","0.18874020874500275","0.18874020874500275","0.18874020874500275"
